Price,Number of rooms,Living Area,Terrace,Area of the terrace,Garden,Area of the garden,Surface area of the plot of land,Number of facades,zipcode
119000.0,4.0,155.0,False,0.0,False,0.0,85.0,2.0,6030
850000.0,8.0,680.0,True,10.0,False,0.0,340.0,2.0,5500
1650.0,6.0,1186.0,False,0.0,False,0.0,4820.0,4.0,6530
130000.0,5.0,2000.0,False,0.0,False,0.0,2000.0,4.0,7611
325000.0,5.0,320.0,False,0.0,False,0.0,170.0,2.0,1400
275000.0,2.0,80.0,False,0.0,False,0.0,833.0,4.0,2230
109000.0,3.0,133.0,True,53.0,True,59.0,155.0,2.0,6020
249999.0,3.0,215.0,True,25.0,True,720.0,720.0,4.0,6150
150000.0,3.0,140.0,True,21.0,False,0.0,164.0,2.0,7700
250000.0,3.0,130.0,True,20.0,False,0.0,216.0,2.0,1480
575000.0,8.0,210.0,False,0.0,False,0.0,135.0,2.0,2610
2500.0,5.0,800.0,False,0.0,True,212.0,515.0,2.0,2000
275000.0,6.0,532.0,True,130.0,True,5600.0,6000.0,6.0,7804
4950.0,6.0,728.0,True,100.0,True,20066.0,20066.0,4.0,3080
470000.0,5.0,150.0,True,20.0,False,0.0,103.0,2.0,4000
595000.0,3.0,249.0,True,111.0,True,70.0,198.0,2.0,1090
2950.0,5.0,600.0,True,30.0,True,2000.0,2000.0,4.0,1180
410000.0,7.0,1000.0,False,0.0,True,1200.0,1950.0,4.0,7370
465000.0,4.0,240.0,True,40.0,True,600.0,850.0,4.0,4020
625000.0,4.0,615.0,True,30.0,True,2500.0,3860.0,4.0,2460
149999.0,3.0,197.0,True,3.0,True,175.0,298.0,3.0,6224
90000.0,3.0,110.0,False,0.0,True,250.0,378.0,3.0,6250
